account,sentiment,total_pnl,trade_count,win_rate,total_capital,roi,sharpe_ratio,max_drawdown,roi_rank
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,11.717676000000012,54,0.037037037037037035,50397.380000000005,0.0002325056580322233,0.010271859707385636,-119.594484,26.0
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,46257.358187,5602,0.30739021777936454,3688147.16,0.012542167158807188,0.15955009020612954,-328.02175999998144,18.0
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,39978.37791,1804,0.32427937915742794,2483772.71,0.016095827830397574,0.17790031746110624,-158.69566099999793,18.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,100502.420808,2080,0.3903846153846154,7134710.2,0.014086405472782901,0.2683065099144374,-621.5450600000001,13.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,8695.357326,724,0.07596685082872928,2125807.78,0.004090377976695522,0.20508787063534234,0.0,23.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,40314.808014,9274,0.32003450506793185,10738173.13,0.0037543451317030496,0.05270485563420702,-8456.483941999984,22.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,49180.714882,4211,0.418665400142484,6889828.6,0.007138162316839058,0.26071620123525596,-997.9415139999946,22.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,19451.742477,95,0.8842105263157894,77964.33,0.24949540997787065,0.46090966360496144,-3060.7400000000016,1.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,67900.247545,283,0.5477031802120141,476629.33,0.1424592304149642,0.255383039918576,-219.72965899999963,3.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,8751.751449,182,0.2692307692307692,559278.3,0.01564829432681368,0.23197633889175914,0.0,11.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,20925.513222,190,0.5526315789473685,643594.44,0.03251350838580893,0.3593350341975831,0.0,11.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,21703.816512999998,525,0.3238095238095238,4431556.89,0.004897560169423889,0.1422153013884693,-2152.4610619999994,21.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,55.01524,9,0.2222222222222222,16766.37,0.0032812850962969328,0.44975712499196036,0.0,24.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,553818.000465,7380,0.3910569105691057,13421173.84,0.04126449795430115,0.09583363353209412,-274.2341410002555,6.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1424518.243984,5387,0.3116762576573232,37755794.1,0.03772979162379742,0.12914659882492135,-7191.184137,10.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,22488.500821,4838,0.4386109962794543,108877041.1,0.00020654952222980648,0.01399740299872251,-42358.770800999955,30.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,940157.212682,21190,0.46753185464841907,68036326.2,0.013818459420020829,0.07814158786791808,-22.740897999785375,14.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,325441.97721599997,2211,0.3722297602894618,17917884.11,0.01816296919982702,0.09208498082926245,-102551.39988400001,9.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,11671.68,267,0.15355805243445692,727783.42,0.016037298568851704,0.23925706738754113,-50.09023999999863,19.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,126967.976166,26651,0.3848636073693295,41437969.8,0.0030640491505450154,0.07779045577839146,-43950.813341,23.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,684215.002602,9883,0.5692603460487706,26617723.76,0.025705240942886697,0.13323887163171547,-77170.16720399959,13.0
